"filename", "language", "CSS", "TypeScript", "HTML", "comment", "blank", "total"
"d:\gitFork\consulttrainfrontend\src\app\app.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\app.component.html", "HTML", 0, 0, 1, 0, 1, 2
"d:\gitFork\consulttrainfrontend\src\app\app.component.spec.ts", "TypeScript", 0, 25, 0, 0, 5, 30
"d:\gitFork\consulttrainfrontend\src\app\app.component.ts", "TypeScript", 0, 12, 0, 0, 2, 14
"d:\gitFork\consulttrainfrontend\src\app\app.config.ts", "TypeScript", 0, 17, 0, 0, 3, 20
"d:\gitFork\consulttrainfrontend\src\app\app.routes.ts", "TypeScript", 0, 168, 0, 0, 2, 170
"d:\gitFork\consulttrainfrontend\src\app\guard\auth.guard.spec.ts", "TypeScript", 0, 13, 0, 0, 5, 18
"d:\gitFork\consulttrainfrontend\src\app\guard\auth.guard.ts", "TypeScript", 0, 28, 0, 4, 6, 38
"d:\gitFork\consulttrainfrontend\src\app\model\Activity.ts", "TypeScript", 0, 13, 0, 0, 1, 14
"d:\gitFork\consulttrainfrontend\src\app\model\Assessment.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"d:\gitFork\consulttrainfrontend\src\app\model\Category.ts", "TypeScript", 0, 7, 0, 0, 2, 9
"d:\gitFork\consulttrainfrontend\src\app\model\Client.ts", "TypeScript", 0, 13, 0, 0, 1, 14
"d:\gitFork\consulttrainfrontend\src\app\model\Constants.ts", "TypeScript", 0, 7, 0, 0, 1, 8
"d:\gitFork\consulttrainfrontend\src\app\model\Contractor.ts", "TypeScript", 0, 19, 0, 0, 1, 20
"d:\gitFork\consulttrainfrontend\src\app\model\Driver.ts", "TypeScript", 0, 25, 0, 0, 1, 26
"d:\gitFork\consulttrainfrontend\src\app\model\Generic.ts", "TypeScript", 0, 9, 0, 0, 1, 10
"d:\gitFork\consulttrainfrontend\src\app\model\Menu.ts", "TypeScript", 0, 144, 0, 20, 1, 165
"d:\gitFork\consulttrainfrontend\src\app\model\Trainer.ts", "TypeScript", 0, 12, 0, 0, 1, 13
"d:\gitFork\consulttrainfrontend\src\app\model\User.ts", "TypeScript", 0, 15, 0, 0, 1, 16
"d:\gitFork\consulttrainfrontend\src\app\page\addassessment\addassessment.component.css", "CSS", 20, 0, 0, 0, 4, 24
"d:\gitFork\consulttrainfrontend\src\app\page\addassessment\addassessment.component.html", "HTML", 0, 0, 311, 3, 5, 319
"d:\gitFork\consulttrainfrontend\src\app\page\addassessment\addassessment.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\addassessment\addassessment.component.ts", "TypeScript", 0, 165, 0, 3, 19, 187
"d:\gitFork\consulttrainfrontend\src\app\page\adddriver\adddriver.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\adddriver\adddriver.component.html", "HTML", 0, 0, 247, 1, 1, 249
"d:\gitFork\consulttrainfrontend\src\app\page\adddriver\adddriver.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\adddriver\adddriver.component.ts", "TypeScript", 0, 135, 0, 2, 10, 147
"d:\gitFork\consulttrainfrontend\src\app\page\allassessments\allassessments.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\allassessments\allassessments.component.html", "HTML", 0, 0, 1, 0, 1, 2
"d:\gitFork\consulttrainfrontend\src\app\page\allassessments\allassessments.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\allassessments\allassessments.component.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"d:\gitFork\consulttrainfrontend\src\app\page\alldrivers\alldrivers.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\alldrivers\alldrivers.component.html", "HTML", 0, 0, 279, 0, 6, 285
"d:\gitFork\consulttrainfrontend\src\app\page\alldrivers\alldrivers.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\alldrivers\alldrivers.component.ts", "TypeScript", 0, 180, 0, 3, 22, 205
"d:\gitFork\consulttrainfrontend\src\app\page\assessmentsreport\assessmentsreport.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\assessmentsreport\assessmentsreport.component.html", "HTML", 0, 0, 1, 0, 1, 2
"d:\gitFork\consulttrainfrontend\src\app\page\assessmentsreport\assessmentsreport.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\assessmentsreport\assessmentsreport.component.ts", "TypeScript", 0, 10, 0, 0, 3, 13
"d:\gitFork\consulttrainfrontend\src\app\page\blood-group\blood-group.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\blood-group\blood-group.component.html", "HTML", 0, 0, 164, 1, 2, 167
"d:\gitFork\consulttrainfrontend\src\app\page\blood-group\blood-group.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\blood-group\blood-group.component.ts", "TypeScript", 0, 60, 0, 0, 8, 68
"d:\gitFork\consulttrainfrontend\src\app\page\client\client.component.css", "CSS", 0, 0, 0, 0, 1, 1
"d:\gitFork\consulttrainfrontend\src\app\page\client\client.component.html", "HTML", 0, 0, 321, 1, 2, 324
"d:\gitFork\consulttrainfrontend\src\app\page\client\client.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\client\client.component.ts", "TypeScript", 0, 104, 0, 0, 7, 111
"d:\gitFork\consulttrainfrontend\src\app\page\configureassessment\configureassessment.component.css", "CSS", 47, 0, 0, 0, 7, 54
"d:\gitFork\consulttrainfrontend\src\app\page\configureassessment\configureassessment.component.html", "HTML", 0, 0, 91, 3, 2, 96
"d:\gitFork\consulttrainfrontend\src\app\page\configureassessment\configureassessment.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\configureassessment\configureassessment.component.ts", "TypeScript", 0, 25, 0, 0, 2, 27
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.css", "CSS", 5, 0, 0, 0, 1, 6
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.html", "HTML", 0, 0, 429, 20, 5, 454
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"d:\gitFork\consulttrainfrontend\src\app\page\contractor\contractor.component.ts", "TypeScript", 0, 204, 0, 8, 19, 231
"d:\gitFork\consulttrainfrontend\src\app\page\dashboard\dashboard.component.css", "CSS", 10, 0, 0, 0, 3, 13
